Address,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Level,Inlinks,Outlinks,External Outlinks,Hash,Response Time,Last Modified,Redirect URI
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-metacobol-release-and-support-lifecycle-dates.aspx?id={D7D05E26-D192-4292-A21E-80FF3829ADB0},text/html; charset=utf-8,200,OK,CA MetaCOBOL Release and Support Lifecycle Dates - CA Technologies,66,587,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-metacobol-release-and-support-lifecycle-dates.aspx?id={D7D05E26-D192-4292-A21E-80FF3829ADB0},17070,77,3,1,7,5,e50e5586aaf9420897c3a10bfc88d25c,1.114,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-jars-resource-management-for-cics-for-zvse-release-and-support-lifecycle-dates.aspx?id={C81111D8-CEB4-4675-8E21-CF1E9889F44C},text/html; charset=utf-8,200,OK,CA JARS Resource Management for CICS for zVSE Release and Support Lifecycle Dates - CA Technologies,99,872,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-jars-resource-management-for-cics-for-zvse-release-and-support-lifecycle-dates.aspx?id={C81111D8-CEB4-4675-8E21-CF1E9889F44C},17331,81,3,1,7,5,38209e95f9716a4cd4ae82b27fb52187,0.536,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-connect-release-and-support-lifecycle-dates.aspx?id={5431EF25-DBDE-4F7F-81B5-8CA526BBEFA6},text/html; charset=utf-8,200,OK,CA Connect Release and Support Lifecycle Dates - CA Technologies,64,551,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-connect-release-and-support-lifecycle-dates.aspx?id={5431EF25-DBDE-4F7F-81B5-8CA526BBEFA6},17032,77,3,1,7,5,ca0f5044be3a7a36450c5f8996c3d5,0.518,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-plex-release-and-support-lifecycle-dates.aspx?id={D95BBCE9-D7D6-4D6E-9B66-3DFD125BE6ED},text/html; charset=utf-8,200,OK,CA Plex Release and Support Lifecycle Dates - CA Technologies,61,519,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-plex-release-and-support-lifecycle-dates.aspx?id={D95BBCE9-D7D6-4D6E-9B66-3DFD125BE6ED},17025,77,3,1,7,5,bf19b5884f3a33b0dc6430eef7b019dc,0.508,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-directory-release-and-support-lifecycle-dates.aspx?id={D3F65E5A-FA3F-4157-9A04-4D58A6B79493},text/html; charset=utf-8,200,OK,CA Directory Release and Support Lifecycle Dates - CA Technologies,66,556,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-directory-release-and-support-lifecycle-dates.aspx?id={D3F65E5A-FA3F-4157-9A04-4D58A6B79493},17070,77,3,1,7,5,5e154db1bd28963c70a6763a5dc93f55,0.518,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/unicenter-nsm-system-status-manager-option-for-ca-opsmvs-release-and-support-lifecycle-dates.aspx?id={E917908F-DCDA-4677-B62C-BF90850C2A6A},text/html; charset=utf-8,200,OK,Unicenter NSM System Status Manager Option for CA-OPSMVS Release and Support Lifecycle Dates - CA Technologies,110,970,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/unicenter-nsm-system-status-manager-option-for-ca-opsmvs-release-and-support-lifecycle-dates.aspx?id={E917908F-DCDA-4677-B62C-BF90850C2A6A},17502,86,3,1,7,5,66ae37c77b51385fbbc23cb453cb2428,0.6,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-panapt-product-family-release-and-support-lifecycle-dates.aspx?id={15B0CD9D-6CAE-4345-BF93-ABA5565093BF},text/html; charset=utf-8,200,OK,CA PanApt Product Family Release and Support Lifecycle Dates - CA Technologies,78,668,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-panapt-product-family-release-and-support-lifecycle-dates.aspx?id={15B0CD9D-6CAE-4345-BF93-ABA5565093BF},17178,79,3,1,7,5,f1d870bfdb2b9b8f4fb8c2bd618755d7,0.518,,
http://www.ca.com/us/support/ca-support-online/product-content/news/important-notices/important-notice-regarding-environment-profiles.aspx?id={CEA646CC-7B64-46D7-AF59-71F182AD287E},text/html; charset=utf-8,200,OK,Important Notice Regarding Environment Profiles - CA Technologies,65,544,,0,0,,0,,0,Important Notice Regarding Environment Profiles,47,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/news/important-notices/important-notice-regarding-environment-profiles.aspx?id={CEA646CC-7B64-46D7-AF59-71F182AD287E},19070,412,3,1,6,6,f533852fdf0954a179232102564c0661,0.532,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-cis-product-release-and-support-lifecycle-dates.aspx?id={54D461B9-4C82-4890-BDE7-739A14AF4827},text/html; charset=utf-8,200,OK,CA CIS Product Release and Support Lifecycle Dates - CA Technologies,68,581,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-cis-product-release-and-support-lifecycle-dates.aspx?id={54D461B9-4C82-4890-BDE7-739A14AF4827},17068,78,3,1,7,5,19662b44adead990543096217caa5840,0.517,,
http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-extenddasd-vsam-compression-release-and-support-lifecycle-dates.aspx?id={92DF9074-4BC5-488E-A957-28BA66B2E8AA},text/html; charset=utf-8,200,OK,CA-ExtendDASD VSAM Compression Release and Support Lifecycle Dates - CA Technologies,84,758,,0,0,,0,,0,,0,,0,"index,follow,NOODP",,http://www.ca.com/us/support/ca-support-online/product-content/status/support-life-cycle/indexes/ca-extenddasd-vsam-compression-release-and-support-lifecycle-dates.aspx?id={92DF9074-4BC5-488E-A957-28BA66B2E8AA},17214,79,3,1,7,5,9837c2e0ab90abd9d1d76aedac9723ad,0.503,,
