Index,Company,shareticker,shareprice,RevenueM2015,Employees,Website,AlexaRank,Documentation,Type,Products,ProductList
1,Microsoft,MSFT,51.16,93580,118000,https://www.microsoft.com/en-au/,39,https://docs.microsoft.com/en-us/,Enterprise,256,https://en.wikipedia.org/wiki/List_of_Microsoft_software
2,Oracle,ORCL,40.86,38226,132000,https://www.oracle.com/index.html,329,https://docs.oracle.com/en/,Enterprise,953,https://www.oracle.com/products/oracle-a-z.html
3,Salesforce,CRM,79.83,6667,19742,https://www.salesforce.com/,142,https://help.salesforce.com/home,Enterprise,18,https://www.salesforce.com/au/products/
4,Symantec,SYMC,20.45,6508,19000,https://www.symantec.com/,3434,https://support.symantec.com/,Enterprise,77,https://www.symantec.com/products
5,Adobe,ADBE,95.31,4664,13893,http://www.adobe.com/,105,https://docs.adobe.com/,Enterprise,92,https://www.adobe.com/products/catalog/software._sl_id-contentfilter_sl_catalog_sl_software_sl_allsoftware.html
6,Intuit,INTU,111.91,4324,8193,http://www.intuit.com/,327,https://developer.intuit.com/docs/,Developer,35,http://www.intuit.com/products/
7,CA,CA,32.78,4324,11600,http://www.ca.com,12211,http://www.ca.com/us/support/ca-support-online/support-by-product.aspx?,Developer,196,http://www.ca.com/us/products/product-list.html?intcmp=headernav
8,Teradata,,,2530,11300,http://www.teradata.com.au/,25455,http://www.info.teradata.com/,Services,57,http://www.teradata.com.au/products-and-services/all-products/?LangType=3081&LangSelect=true
9,Autodesk,ADSK,54.34,2504,9500,http://www.autodesk.com/,1220,https://knowledge.autodesk.com/support,Enterprise,169,http://www.autodesk.com/products
10,Synopsis,SNPS,53.78,2242,10284,http://www.synopsys.com/home.aspx,32564,http://www.synopsys.com/Support/Pages/default.aspx,Enterprise,132,http://www.synopsys.com/Company/Pages/AZList.aspx
11,Akamai,AKAM,55.5,2197,6084,https://www.akamai.com/,7876,https://developer.akamai.com/,Developer,48,https://www.akamai.com/us/en/solutions/products/
12,Nuance,NUAM,15.67,1931,13500,http://www.nuance.com/index.htm,15172,http://www.nuance.com/support/,Enterprise,82,http://www.nuance.com/products/index.htm?ref=footer
13,Atlassian,TEAM,26.3,,1259,https://www.atlassian.com/,1985,https://confluence.atlassian.com/,Enterprise,19,https://en.wikipedia.org/wiki/Atlassian
14,Trello,,,,125,https://trello.com/,292,http://help.trello.com/,Enterprise,1,
15,Slack,,,,750,https://slack.com/,331,https://get.slack.help/,Enterprise,1,
16,Github,,,,750,https://github.com/,61,https://help.github.com/,Enterprise,1,
17,Dropbox,,,,2500,https://www.dropbox.com,87,https://www.dropbox.com/help,Enterprise,1,
18,AtlassianDAC,TEAM,26.3,,1259,https://www.atlassian.com/,1985,https://developer.atlassian.com/,Enterprise,19,https://en.wikipedia.org/wiki/Atlassian
