Address,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Level,Inlinks,Outlinks,External Outlinks,Hash,Response Time,Last Modified,Redirect URI
https://docs.microsoft.com/en-us/,text/html,200,OK,Microsoft Technical Documentation | DOCS,40,348,,0,0,,0,docs.microsoft.com,18,,0,"Welcome to our new modern documentation service (learn more). For additional documentation on Microsoft products or services, please visit MSDN or TechNet.",155,,0,,,https://docs.microsoft.com/en-us/,9610,221,0,3,14,4,1cd94fb6fa89e5246b8496db8d2d07e1,0.603,"Wed, 29 Jun 2016 17:01:25 GMT",
https://docs.microsoft.com/teamblog/introducing-docs-microsoft-com/,text/html; charset=utf-8,200,OK,Introducing docs.microsoft.com,30,249,,0,0,,0,Introducing docs.microsoft.com,30,,0,,0,,0,,,https://docsmsftblog.azurewebsites.net/teamblog/introducing-docs-microsoft-com/,24653,1165,1,4,27,22,8aac690f6d4c3cf44c1ffa13481bcfd1,0.097,,
https://docs.microsoft.com/en-us/dotnet/core/api/index,text/html,200,OK,.NET Core API Reference,23,207,.NET Core API Reference,23,150,".NET, .NET Core, .NET Core API Reference, .NET Core class library, .NET class library",85,.NET Core API Reference,23,,0,Namespaces in the .NET Core Class Library,41,Improving the Documentation,27,,,https://docs.microsoft.com/en-us/dotnet/core/api/index,35916,1938,1,8,113,13,41ea9a672b8ea76464de79a598425b79,0.269,"Wed, 06 Jul 2016 01:36:46 GMT",
https://docs.microsoft.com/en-us/dotnet/articles/core/index,text/html,200,OK,.NET Core,9,85,.NET Core,9,61,".NET, .NET Core",15,.NET Core,9,,0,Composition,11,Acquisition,11,,,https://docs.microsoft.com/en-us/dotnet/articles/core/index,22819,1762,1,9,15,44,8ceba636e8d19db4a49cc1bd82ac8695,0.784,"Wed, 06 Jul 2016 01:36:47 GMT",
https://docs.microsoft.com/en-us/advanced-threat-analytics/,text/html,200,OK,Advanced Threat Analytics Documentation,39,340,Technical documentation for Microsoft Intune - Mobile Device and Application Management,87,528,"Advanced Threat Analytics Documentation, ATA documentation",58,Microsoft Advanced Threat Analytics Documentation,49,,0,"Learn how to deploy and manage Microsoft Advanced Threat Analytics (ATA), an on-premises product that helps IT security professionals protect their enterprise from advanced targeted attacks.",190,Featured Content,16,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/,12880,275,1,5,23,4,5408db06d4864d49b314d0d710de88c0,0.788,"Tue, 05 Jul 2016 09:00:19 GMT",
https://docs.microsoft.com/en-us/dotnet/core/api/system.diagnostics,text/html,200,OK,System.Diagnostics namespace,28,256,,0,0,,0,System.Diagnostics Namespace,28,,0,Search Results,14,Classes,7,,,https://docs.microsoft.com/en-us/dotnet/core/api/system.diagnostics,51265,1061,2,6,78,1,bdc3033a80e42dc429c8f3d5ac5fa37,0.502,"Wed, 06 Jul 2016 01:37:10 GMT",
https://docs.microsoft.com/en-us/dotnet/core/api/system.reflection,text/html,200,OK,System.Reflection namespace,27,243,,0,0,,0,System.Reflection Namespace,27,,0,Search Results,14,Classes,7,,,https://docs.microsoft.com/en-us/dotnet/core/api/system.reflection,71933,1675,2,9,90,1,162ea400c00d4b20580e269973d93cfe,1.015,"Wed, 06 Jul 2016 01:37:07 GMT",
https://docs.microsoft.com/en-us/advanced-threat-analytics/troubleshoot/troubleshooting-ata-using-logs,text/html,200,OK,Troubleshooting ATA using the ATA logs | Microsoft Advanced Threat Analytics,76,632,Describes how you can use the ATA logs to troubleshoot issues,61,372,,0,Troubleshooting ATA using the ATA logs,38,,0,ATA Gateway logs,16,ATA Center logs,15,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/troubleshoot/troubleshooting-ata-using-logs,16021,969,2,7,11,8,80c3af4a5e5fc4c7360c82bcc6c9f7eb,0.413,"Tue, 05 Jul 2016 09:01:11 GMT",
https://docs.microsoft.com/en-us/dotnet/core/api/windows.ui.xaml.media.media3d.matrix3d,text/html,200,OK,Matrix3D struct,15,121,,0,0,,0,Matrix3D Struct,15,,0,Search Results,14,Constructors,12,,,https://docs.microsoft.com/en-us/dotnet/core/api/windows.ui.xaml.media.media3d.matrix3d,70644,476,2,46,91,2,36f6032d8ca8cb9009f83d3f62957b08,0.275,"Wed, 06 Jul 2016 01:37:03 GMT",
https://docs.microsoft.com/en-us/dotnet/core/api/system.diagnostics.trace,text/html,200,OK,Trace class,11,92,,0,0,,0,Trace Class,11,,0,Search Results,14,Properties,10,,,https://docs.microsoft.com/en-us/dotnet/core/api/system.diagnostics.trace,93218,1689,3,91,159,2,b256196ae0af91aee2c776f7ae016995,0.293,"Wed, 06 Jul 2016 01:37:10 GMT",
