Address,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Level,Inlinks,Outlinks,External Outlinks,Hash,Response Time,Last Modified,Redirect URI
https://support.symantec.com/en_US.html?redirect=false,text/html; charset=UTF-8,200,OK,Symantec Enterprise Technical Support,37,317,"Articles, videos and downloads that help solve technical issues related to your Symantec products.",98,575,,0,Symantec Enterprise Technical Support,37,,0,Products Home,13,Services Home,13,,,,68936,468,1,3,27,158,87947c040037260a4002f6013d50c935,1.087,,
https://support.symantec.com/en_US/product-a-z.html,text/html,200,OK,Product A-Z,11,96,,0,0,,0,Product A-Z,11,,0,Products Home,13,Services Home,13,,,,89683,1127,2,9639,195,152,1169e5f9b503f2ecdaf71e9196cacfed,0.417,"Thu, 07 Jul 2016 12:03:55 GMT",
https://support.symantec.com/en_US/dpl.56997.html,text/html,200,OK,Workspace Remote (formerly nSuite-PrivacyShell remote),54,462,,0,0,,0,Workspace Remote (formerly nSuite-PrivacyShell remote),54,,0,Products Home,13,Services Home,13,,,,57764,606,4,4,29,152,5409ceab2fa43f5c9df4d5a3145eb7c0,0.775,"Thu, 07 Jul 2016 12:04:03 GMT",
https://support.symantec.com/en_US/article.DOC2135.html,text/html,200,OK,Symantec&trade; Workspace Corporate 6.2 MP1 Release Notes (incl. Workspace Remote),82,725,,0,0,,0,Symantecª Workspace Corporate 6.2 MP1 Release Notes (incl. Workspace Remote),76,Introduction,12,Products Home,13,Services Home,13,,,,143906,2991,5,14,15,157,21a20dce798746a324856147434fcbb2,0.978,"Thu, 07 Jul 2016 12:56:48 GMT",
https://support.symantec.com/en_US/more-articles.html?path=/content/unifiedweb/en_US/dpl/_jcr_content/voyager-content/responsivecolumncont/column-2/articlelist&productReferenceKeys=56997,text/html; charset=UTF-8,200,OK,Recent Articles,15,121,,0,0,,0,Recent Articles,15,,0,Products Home,13,Services Home,13,,,,71827,518,5,4,19,152,9d87656e0c6af4d388a9654603721689,1.207,,
https://support.symantec.com/en_US/more-articles.html?path=/content/unifiedweb/en_US/dpl/_jcr_content/voyager-content/responsivecolumncont/column-1/articlelist&productReferenceKeys=56997,text/html; charset=UTF-8,200,OK,Popular Articles,16,126,,0,0,,0,Popular Articles,16,,0,Products Home,13,Services Home,13,,,,71843,518,5,4,19,152,4a034bf37aac7742e4da9085a7486ccf,1.324,,
https://support.symantec.com/en_US/article.TECH216644.html,text/html,200,OK,Are Symantec Workspace Streaming (SWS) & Symantec Workspace Virtualization (SWS) products affected by the CVE-2014-0160 (Heartbleed) vulnerability?,147,1262,,0,0,,0,Are Symantec Workspace Streaming (SWS) & Symantec Workspace Virtualization (SWS) products affected by the CVE-2014-0160 (Heartbleed) vulnerability?,147,,0,Products Home,13,Services Home,13,,,,59297,604,5,7,15,155,40f921a01488a1452dcd5b3a544c445,0.495,"Thu, 07 Jul 2016 15:24:11 GMT",
https://support.symantec.com/en_US/dpl.59655.html,text/html,200,OK,Deployment Solution for Solaris,31,252,,0,0,,0,Deployment Solution for Solaris,31,,0,,0,,0,,,,27484,271,4,3,26,9,a50940c6377169a8ce109e0b96116899,3.654,"Thu, 07 Jul 2016 16:11:36 GMT",
https://support.symantec.com/en_US/dpl.51882.html,text/html,200,OK,Client Firewall,15,113,,0,0,,0,Client Firewall,15,,0,Products Home,13,Services Home,13,,,,57858,605,4,4,33,152,83223f06ebdd8fb60184b2582451805f,0.551,"Thu, 07 Jul 2016 12:04:36 GMT",
https://support.symantec.com/en_US/dpl.54626.html,text/html,200,OK,Endpoint Protection for Windows XP Embedded,43,382,,0,0,,0,Endpoint Protection for Windows XP Embedded,43,,0,Products Home,13,Services Home,13,,,,56300,573,4,4,26,152,24480c0d99f36d57bcd8c621fa4ea372,0.997,"Thu, 07 Jul 2016 15:15:53 GMT",
